Título,Semilla,Estado,Frecuencia,Tamaño,Palabras_clave,Materia
Cooperativa del Campo Vitivinícola Sanluqueña (Sanlúcar de Barrameda (Cádiz),https://covisan.net,Activa,Anual,Mediano,Vinos / Industrias de las bebidas / Cooperativas / Cádiz,Bebidas
Conservatorio Profesional de Danza de Córdoba “Luís del Río”,https://cpdanzacordoba.com,Activa,Semestral,Pequeno,Danza / Centros docentes / Conservatorios / Educación / Córdoba,Arte
Conservatorio Profesional de Danza de Granada Reina  Sofía (Granada),https://cpdanzagranada.com,Activa,Semestral,Pequeno,Danza / Centros docentes / Conservatorios / Educación / Granada,Arte
Conservatorio Profesional de Danza de Málaga Pepa Flores,https://cpdmalaga.org,Activa,Semestral,Pequeno,Danza / Centros docentes / Conservatorios / Educación / Málaga,Arte
CEIP San Juan de Dios (Granada),https://cpsanjuandedios.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
Crónica de Arjonilla,https://cronicadearjonilla.es,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Jaén / Andalucía,Prensa
Conservatorio Superior de Música Rafael Orozco de Córdoba,https://csmcordoba.com,Activa,Semestral,Mediano,Música / Educación / Conservatorios / Centros docentes / Córdoba,Música
Consorcio de Transporte Metropolitano del Área de Granada,https://ctagr.es/.,Activa,Anual,Mediano,Transportes / Organismos administrativos / Granada,Transporte
Consorcio de Transporte Metropolitano del Área de Jaén,https://ctja.es,Activa,Anual,Mediano,Transportes / Organismos administrativos / Jaén,Transporte
Consorcio de Transporte Metropolitano del Área de Málaga,https://ctmam.es,Activa,Anual,Mediano,Transportes / Organismos administrativos / Málaga,Transporte
"Biblioteca Municipal Miguel Hernández (La Zubia, Granada)",https://culturalazubia.wordpress.com/biblioteca/,Activa,Semestral,Mediano,Bibliotecas / Patrimonio bibliográfico y documental / Instituciones culturales / Granada,Bibliotecas
Dalias digital,https://daliasdigital.es,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Almería / Andalucía,Prensa
"Delea a Marca (Lepe, Huelva)",https://deleaamarca.com,Activa,Anual,Mediano,Vinos / Bodegas / Industrias de las bebidas / Huelva,Bebidas
Colegio Oficial de Dentistas de Cádiz,https://dentistascadiz.com,Activa,Semestral,Pequeno,Medicina / Dentistas / Asociaciones / Cádiz,Medicina
"Destello de Málaga (Alfarnatejo, Málaga)",https://destellodemalaga.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Málaga,Alimentaria
"Destilerías LIber (Padul, Granada)",https://destileriasliber.com,Activa,Anual,Mediano,Aguardientes/Licores/Industria de las bebidas/Granada,Bebidas
"Destilería Martes Santo (Higuera de la Sierra, Huelva)",https://destileriasmartessanto.com,Activa,Anual,Mediano,Aguardientes / Licores / Anís / Industria de las bebidas / Huelva,Bebidas
"Destraperlo comando cervecero(Jerez de la Frontera, Cádiz)",https://destraperlo-comando-cervecero.negocio.site,Activa,Anual,Mediano,Cerveza / Industria de las bebidas / Cádiz,Bebidas
"Diamsur (Casarabonela, Málaga)",https://diamsur.com,Activa,Anual,Mediano,Aceitunas / Aceite de oliva / Industria alimentaria / Málaga,Alimentaria
Diario Baena,https://diariobaena.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Córdoba / Andalucía,Prensa
Diario costa: digital de la Costa del Sol,https://diariocosta.com,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Málaga / Andalucía,Prensa
Diario de Carmona,https://diariodecarmona.wordpress.com,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Sevilla / Andalucía,Prensa
Diario Guadalquivir,https://diarioguadalquivir.com,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Jaén / Andalucía,Prensa
Diario sexitano: noticias y actualidad Almuñécar-La Herradura,https://diariosexitano.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Granada / Andalucía,Prensa
"Bodegas y Viñedos Diez Mérito (Jerez de la Frontera, Cádiz)",https://diezmerito.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Dimobe: bodega A. Muñoz Cabrera (Moclinejo, Málaga)",https://dimobe.es/es/,Activa,Anual,Mediano,Vinos / Bodegas / Industrias de las bebidas / Málaga,Bebidas
Diputación de Córdoba,https://dipucordoba.es,Activa,Mensual,Pequeno,Organismos administrativos / Diputaciones provinciales / Córdoba,Administración
"IES Doña Leonor de Guzmán (Alcalá de Guadaíra, Sevilla)",https://donaleonordeguzman.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
Dos Lunas Teatro (Sevilla),https://doslunasteatro.com,Activa,Semestral,Pequeno,Teatro / Educación / Compañías teatrales / Sevilla,Arte
Écija digital,https://ecijadigital.es,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Sevilla / Andalucía,Prensa
Eduardo Guerrero (Cádiz),https://eduardo-guerrero.com/es_es/home/,Activa,Semestral,Pequeno,Teatro / Compañías teatrales / Cádiz,Arte
"CEIP Eduardo Ocón Rivas (Benamocarra, Málaga)",https://eduardooconrivas.wordpress.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
Efesto Teatro (Cádiz),https://efestoteatro.blogspot.com,Activa,Semestral,Pequeno,Teatro / Danza / Compañías teatrales / Cádiz,Arte
El ágora de Alhaurín,https://elagoraglobal.com,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Málaga / Andalucía,Prensa
"CEIP Ntra. Sra. del Carmen (Lucena, Córdoba)",https://elcarmenesmicole.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"CEIP Federico García Lorca (Moclín, Granada)",https://elcoledelosolivares.wixsite.com/inicio,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP El Colorado (Conil de la Frontera, Cádiz)",https://elcoloradoceip.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
El Comarcal de Lecrín,https://elcomarcaldelecrin.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Granada / Andalucía,Prensa
El eco de Paradas,https://elecodeparadas.wordpress.com,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Sevilla / Andalucía,Prensa
Ayuntamiento de El Ejido (Almería),https://elejido.es,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Almería,Administración
El Ejido digital,https://elejidodigital.es,Inactiva,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Almería / Andalucía,Prensa
"Espejo Negro, El (Campanillas, Málaga)",https://elespejonegro.com,Activa,Semestral,Pequeno,Teatro / Compañías teatrales / Málaga,Arte
El Fermentador:  cervezas artesanas (Granada),https://elfermentador.com,Activa,Anual,Mediano,Cerveza / Industria de las bebidas / Granada,Bebidas
"CEIP Francisco Ayala (Iznalloz, Granada)",https://elpatiodeayala.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
El periódico de Mairena del Alcor,https://elperiodicodemairena.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Sevilla / Andalucía,Prensa
El Puerto actualidad,https://elpuertoactualidad.es,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Cádiz / Andalucía,Prensa
"Enoro (Arahal, Sevilla)",https://enoro.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Sevilla,Alimentaria
"Escamilla Aceituna Sevillana (Umbrete, Sevilla)",https://escamilla.es,Activa,Anual,Mediano,Aceitunas / Industria alimentaria / Sevilla,Alimentaria
Escenalia (Almería),https://escenalia.com,Activa,Semestral,Pequeno,Teatro / Compañías teatrales / Almería,Arte
Escuela de Pacientes,https://escueladepacientes.es,Activa,Semestral,Pequeno,Salud pública / Enfermos / Educación / Andalucía,Salud pública
Escuela de Teatro “Duque de Rivas” (Córdoba),https://escueladeteatroduquederivas.es,Activa,Semestral,Pequeno,Teatro / Centros docentes / Educación / Córdoba,Arte
Escuela de Teatro y Doblaje Remiendo (Granada),https://escueladeteatroengranada.es,Activa,Semestral,Pequeno,Teatro / Centros docentes / Educación / Málaga,Arte
"Esfiga Teatro Musical (Posadas, Córdoba)",https://esfiga.wordpress.com,Activa,Semestral,Pequeno,Teatro musical / Música / Compañías teatrales / Córdoba,Arte
"Esmeralda de Mágina (Cambil, Jaén)",https://esmeraldamagina.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Jaén,Alimentaria
"Espadafor (Escúzar, Granada)",https://espadafor.es,Activa,Anual,Mediano,Aguardientes / Licores / Industria de las bebidas / Granada,Bebidas
Federación Andaluza de Espeleología,https://espeleo.es,Activa,Semestral,Pequeno,Asociaciones / Deportes / Espeleología,Deportes
"Perdón, Amor y Esperanza",https://esperanzajaenera.wordpress.com,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Jaén,Religión
EuroWeekly news (ed. Axarquía-Costa Tropical),https://euroweeklynews.com,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Málaga / Andalucía,Prensa
Federación Andaluza de Actividades Subacuáticas,https://faas.com.es,Activa,Semestral,Pequeno,Asociaciones / Deportes / Deportes acuáticos / Buceo,Deportes
Federación Andaluza de Béisbol y Sófbol,https://fabs.es,Activa,Semestral,Pequeno,Asociaciones / Deportes / Béisbol / Sófbol,Deportes
Federación Andaluza de Caza,https://fac.es,Activa,Semestral,Pequeno,Asociaciones deportivas / Caza / Andalucía,Deportes
Federación Andaluza de Deportes de Invierno,https://fadi.es,Activa,Semestral,Pequeno,Asociaciones / Deportes / Deportes de invierno,Deportes
Federación Andaluza de Halterofilia,https://fahalterofilia.com,Activa,Semestral,Pequeno,Asociaciones / Deportes / Halterofilia,Deportes
Federación Andaluza de Motociclismo,https://famotos.com,Activa,Semestral,Pequeno,Asociaciones / Deportes / Motociclismo,Deportes
Federación Andaluza de Balonmano,https://fandaluzabm.org,Activa,Semestral,Pequeno,Asociaciones / Deportes / Balonmano,Deportes
Federación Andaluza de Deportes para Discapacitados Intelectuales,https://fanddi.com,Activa,Semestral,Pequeno,Asociaciones / Deportes / Personas con discapacidad mental,Deportes
Federación Andaluza de Judo y Deportes Asociados,https://fanjyda.com,Activa,Semestral,Pequeno,Asociaciones / Deportes / Artes marciales / Yudo,Deportes
Federación Andaluza de Kárate Fankarate,https://fankarate.com,Activa,Semestral,Pequeno,Asociaciones / Deportes / Artes marciales / Kárate,Deportes
Federación Andaluza de Pesca deportiva,https://fapd.org,Activa,Semestral,Mediano,Asociaciones / Deportes / Pesca deportiva,Deportes
Federación Andaluza de Tenis,https://fatenis.com/tenisandalucia/,Activa,Semestral,Pequeno,Asociaciones / Deportes / Tenis,Deportes
Federación Andaluza de Voleibol,https://favoley.es,Activa,Semestral,Pequeno,Asociaciones / Deportes / Voleibol,Deportes
Federación de Cofradías de Pescadores de Cádiz (FECOPESCA),https://fecopesca.com,Activa,Anual,Mediano,Pesca / Cofradías de pescadores / Asociaciones / Cádiz,Caza
Federación Andaluza de Tiro con Arco,https://fedandarcos.es,Activa,Semestral,Pequeno,Asociaciones / Deportes / Tiro con Arco,Deportes
Federación de Asociaciones de Esclerosis Múltiple de Andalucía,https://fedema.es,Activa,Semestral,Pequeno,Medicina / Enfermedades / Esclerosis múltiple / Asociaciones / Andalucía,Medicina
Federación Andaluza de Galgos,https://federacionandaluzadegalgos.com,Activa,Semestral,Pequeno,Asociaciones / Deportes / Galgo,Deportes
Federación Andaluza de Motonáutica,https://federacion-andaluza-motonautica.es,Activa,Semestral,Pequeno,Asociaciones / Deportes / Motonáutica,Deportes
Federación de Coros de Granada,https://federacioncorosdegranada.es,Activa,Anual,Mediano,Música coral / Coros / Asociaciones / Granada,Música
"CEIP Federico García Lorca (Marbella, Málaga)",https://federicogarcialorcamarbella.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
Fundación Pública Andaluza para la Investigación de Málaga en Biomedicina y Salud (FIMABIS),https://fimabis.org/?lang=es,Activa,Semestral,Pequeno,Salud pública / Ciencias biomédicas / Investigación / Asociaciones / Málaga,Salud pública
Fundación Pública Andaluza para la Gestión de la Investigación en Salud de Sevilla,https://fisevi.com,Activa,Semestral,Pequeno,Salud pública / Investigación / Asociaciones / Sevilla,Salud pública
Festival Iberoamericano de Teatro de Cádiz,https://fitdecadiz.org,Activa,Semestral,Pequeno,Teatro / Festivales / Cádiz,Arte
"Folks Bier: cerveza artesanal  (Aracena, Huelva)",https://folksbier.es,Activa,Anual,Mediano,Cerveza / Industria de las bebidas / Huelva,Bebidas
Federación de periodistas deportivos de Andalucía,https://fpdandalucia.es,Activa,Semanal,Pequeno,Periodismo / Periodistas / Deportes / Asociaciones / Andalucía,Prensa
IES Pablo Picasso (Málaga),https://fpiespablopicasso.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
Compañía de Teatro Frotalámparas (Sevilla),https://frotalamparas.es,Activa,Semestral,Pequeno,Teatro / Compañías teatrales / Sevilla,Arte
"Schatz (Ronda, Málaga)",https://f-schatz.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Málaga,Bebidas
Ayuntamiento de Fuente Palmera,https://fuentepalmera.es,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Córdoba,Administración
"García Morón (Arjonilla, Jaén)",https://garciamoron.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Jaén,Alimentaria
"Gin Alborán (Vélez-Málaga, Málaga)",https://ginalboran.es,Inactiva,Anual,Mediano,Aguardientes / Ginebra / Industria de las bebidas / Málaga,Bebidas
CEIP Giner de los Ríos (Almería),https://ginerdelosrios-noticias.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
Colegio Oficial de Ingenieros Técnicos Agrícolas de Granada,https://granada.agricolas.org/inicio,Activa,Semestral,Pequeno,Ingeniería agrícola / Ingenieros agrónomos / Asociaciones / Granada,Agricultura
Colegio Oficial de Agentes Comerciales de Granada,https://granada.cgac.es,Activa,Semestral,Pequeno,Economía / Comercio / Agentes comerciales / Asociaciones / Granada,Economía
"Granada Beer Co.(Albolote, Granada)",https://granadabeercompany.com,Activa,Anual,Mediano,Cerveza / Industria de las bebidas / Granada,Bebidas
GranadaiMedia: las noticias de tu barrio,https://granadaimedia.com,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Granada / Andalucía,Prensa
PSOE de Granada – Partido Socialista Obrero Español de Granada (PSOE de Granada),https://granadapsoe.com,Activa,Semestral,Pequeno,Política / Instituciones políticas / Partidos político / /Partido Socialista Obrero Español de Granada (PSOE de Granada) / Granada,Política
Grupo de Acción Local de Pesca Costa Granadina,https://grupocostagranada.com,Activa,Anual,Mediano,Pesca / Pescadores / Asociaciones / Granada,Caza
"Oleícola Jaén (Baeza,Jaén)",https://grupooleicolajaen.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Jaén,Alimentaria
"Guadalquibeer (Valencina, Sevilla)",https://guadalquibeer.com,Activa,Anual,Mediano,Cerveza / Industria de las bebidas / Sevilla,Bebidas
Ayuntamiento de Guadix,https://guadix.es,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Granada,Administración
"Hacienda Guzmán (La Rinconada, Sevilla)",https://haciendaguzman.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Sevilla,Alimentaria
"Hacienda Ípora (Gilena, Sevilla)",https://haciendaipora.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Sevilla,Alimentaria
"Harveys (Jerez de la Frontera, Cádiz)",https://harveys.es,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Bodegas Argüeso (Sanlúcar de Barrameda, Cádiz)",https://herederosdeargueso.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Hermandad de Jesús (Alcalá de Guadaíra, Sevilla)",https://hermandaddejesus.es,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Sevilla,Religión
Hermandad Sacramental de la Sentencia (Málaga),https://hermandaddelasentencia.com,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Málaga,Religión
Hermandad de la Sentencia (Córdoba),https://hermandaddelasentencia.org,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Córdoba,Religión
Hermandad del Calvario (Sevilla),https://hermandaddelcalvario.org,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Sevilla,Religión
Hermandad del Dulce Nombre (Sevilla),https://hermandaddeldulcenombre.org,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Sevilla,Religión
Hermandad del Perdón (Córdoba),https://hermandaddelperdon.com,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Córdoba,Religión
Hermandad de Santa Marta (Sevilla),https://hermandaddesantamarta.org,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Sevilla,Religión
Agrupación de Hermandades y Cofradías de Córdoba,https://hermandadesdecordoba.es,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Córdoba,Religión
Hermandad de los Dolores (Córdoba),https://hermandadlosdolores.es,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Córdoba,Religión
Archicofradía Sacramental de San Roque (Sevilla),https://hermandadsanroque.com,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Sevilla,Religión
"Emilio Hidalgo (Jerez de la Frontera, Cádiz)",https://hidalgo.com,Activa,Anual,Mediano,Vinos / Bodegas / Industrias de las bebidas / Cádiz,Bebidas
"Himar licores (Albolote, Granada)",https://himarlicores.com,Inactiva,Anual,Mediano,Licores / Industria de las bebidas / Granada,Bebidas
Histrión Teatro (Granada),https://histrionteatro.es,Activa,Semestral,Pequeno,Teatro / Compañías teatrales / Granada,Arte
Hospital Universitario Puerta del Mar (Cádiz),https://hospitalpuertadelmar.com,Activa,Semestral,Pequeno,Hospitales / Servicios de salud / Medicina / Cádiz,Salud pública
Hoy Jerez,https://hoyjerez.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Cádiz / Andalucía,Prensa
"Hospital San Agustín (Dos Hermanas, Sevilla)",https://hsanagustin.es,Activa,Semestral,Pequeno,Hospitales / Servicios de salud / Medicina / Sevilla,Salud pública
Colegio Oficial de Agentes Comerciales de Huelva,https://huelva.cgac.es,Activa,Semestral,Pequeno,Economía / Comercio / Agentes comerciales / Asociaciones / Huelva,Economía
Huelva24,https://huelva24.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Huelva / Andalucía,Prensa
Huelva costa,https://huelvacosta.com,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Huelva / Andalucía,Prensa
Huelva ya,https://huelvaya.es,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Huelva / Andalucía,Prensa
Ayuntamiento de Huetor-Tajar,https://huetortajar.org,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Granada,Administración
Ilustre Colegio de Abogados de Cádiz,https://icadiz.org,Activa,Semestral,Pequeno,Derecho / Abogados / Asociaciones / Cádiz,Derecho
Ilustre Colegio de Abogados de Granada,https://icagr.es,Activa,Semestral,Pequeno,Derecho / Abogados / Asociaciones / Granada,Derecho
Ilustre Colegio de Abogados de Jaén,https://icajaen.es,Activa,Semestral,Pequeno,Derecho/Abogados/Asociaciones/Jaén,Derecho
Teatro Lope de Vega (Sevilla),https://icas.sevilla.org/espacios/teatro-lope-de-vega,Activa,Semestral,Pequeno,Teatros / Instituciones culturales / Granada,Arte
Ilustre Colegio de Procuradores de Almería,https://icpdal.com,Activa,Semestral,Pequeno,Derecho / Procuradores de los tribunales / Asociaciones / Almería,Derecho
IES  Al-Ándalus (Almería),https://iesalandalus.org/joomla/,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"IES Al-Bujaira (Huércal-Overa, Almería)",https://iesalbujaira.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
IES Alhambra (Granada),https://iesalhambra.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"IES Al-Iscar (Villanueva del Ariscal, Sevilla)",https://iesaliscar.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"IES Alonso Cano Dúrcal, Granada)",https://iesalonsocano.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"IES Alvar Núñez (Jerez de la Frontera, Cádiz)",https://iesalvarnunez.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Profesor Andrés Bojollo (Puente Genil, Córdoba)",https://iesandresbojollo.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"IES Antonio de Mendoza (Alcalá la Real, Jaén)",https://iesantoniodemendoza.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"IES Antonio Machado (La Linea de la Concepción, Cádiz)",https://iesantoniomachado.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES La Arboleda (El Puerto de Santa María, Cádiz)",https://iesarboleda13.wordpress.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Aricel (Albolote, Granada)",https://iesaricel.org,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"IES Arrabal (Carmona, Sevilla)",https://iesarrabal.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"IES Astaroth (Rota, Cádiz)",https://iesastaroth.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Bahía de Marbella (Marbella, Málaga)",https://iesbahiamarbella.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
IES Gustavo Adolfo Bécquer (Sevilla),https://iesbecquer.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
IES Belén (Málaga),https://iesbelen.org,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"IES Bezmiliana (Rincón de la Victoria, Málaga)",https://iesbezmiliana.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"IES Delgado Brackembury (Las Cabezas de San Juan, Sevilla)",https://iesbrackenbury.wordpress.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"IES Bury Al-Hamma (Baños de la Encina, Jaén)",https://iesburyalhamma.jimdofree.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"IES Campanillas (Campanillas, Málaga)",https://iescampanillas.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"IES Carlos Castilla del Pino (San Roque, Cádiz)",https://iescarloscastilla.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Cástulo (Linares, Jaén)",https://iescastulo.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"IES Cavaleri (Mairena del Aljarafe, Sevilla)",https://iescavaleri.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"IES Camilo José Cela (Campillos, Málaga)",https://iescela.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
IES Celia Viñas (Almería),https://iescelia.org/web/,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"IES Ciudad de Algeciras (Algeciras, Cádiz)",https://iesciudadalgeciras.wixsite.com/algeciras,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Colonial (Fuente Palmera, Córdoba)",https://iescolonial.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
IES Columela (Cádiz),https://iescolumela.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Cura Valera (Huércal-Overa, Almería)",https://iescuravalera.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"IES Maestro Diego Llorente (Los Palacios y Villafranca, Sevilla)",https://iesdiegollorente.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"IES Doñana (Sanlúcar de Barrameda, Cádiz)",https://iesdonana.org,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Doña Salvadora Muñoz (Villanueva de Algaidas, Málaga)",https://iesdonasalvadoramunoz.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"IES Don Diego de Bernuy (Benamejí, Córdoba)",https://iesdondiegodebernuy.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"IES Emilio Canalejo Olmeda (Montilla, Córdoba)",https://ieseco.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"IES Eduardo Janeiro (Fuengirola, Málaga)",https://ieseduardojaneiro.org,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
IES El Alquián (Almería),https://ieselalquian.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"IES El Getares (Algeciras, Cádiz)",https://ieselgetares.org,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
IES El Tablero (Córdoba),https://ieseltablero.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"IES El Temple (La Malahá, Granada)",https://ieseltemple.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"IES Entresierras (Purchena, Almería)",https://iesentresierras.wordpress.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"IES Escuela de Hostelería San Roque (San Roque, Cádiz)",https://iesescueladehosteleriasanroque.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Felipe Solís Villechenous (Cabra, Córdoba)",https://iesfelipesolis.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
IES Fernando de los Ríos (Málaga),https://iesfernandodelosrios.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"IES Maestro Francisco Fatou (Ubrique, Cádiz)",https://iesfranciscofatou.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Francisco Montoya (El Ejido, Almería)",https://iesfranciscomontoya.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"IES Fuente Álamo (Puente Genil, Córdoba)",https://iesfuentealamo.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"IES Fuente de la Negra (Fuensanta de Martos, Jaén)",https://iesfuentedelanegra.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"IES Fuente Lucena (Alhaurín el Grande, Málaga)",https://iesfuentelucena.org/web/,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"IES Fuente Nueva (Morón de la Frontera, Sevilla)",https://iesfuentenueva.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"IES Fuente Nueva (El Ejido, Almería)",https://iesfuentenueva.net,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"IES Gandhi (Orcera, Jaén)",https://iesgandhi.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"IES Gerena (Gerena, Sevilla)",https://iesgerena.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
IES Luis de Góngora (Córdoba),https://iesgongora.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"IES Isabel La Católica (Guadahortuna, Granada)",https://iesguadahortuna.wordpress.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
